"Text","Language","Source","Date"
"Don't. Read. The. Comments.","en","relativeinsight","2019-08-01T00:00:00"
"I guess people will want to know what this video is about. Well, it's about Tiffany Tumbles.","en","relativeinsight","2019-08-01T00:00:00"
"","en","relativeinsight","2019-08-01T00:00:00"
"Okay fine. You wouldn't be wrong if you said it's about the politics of self-loathing,  power dynamics within LGBTQ communities, how bigotry becomes internalized and how internalized bigotry becomes the alibi of external bigotry,","en","relativeinsight","2019-08-01T00:00:00"
"There, I ruined it for you.","en","relativeinsight","2019-08-01T00:00:00"
"Also, I feel that I should say that now is a particularly difficult time to be trans and a lot of us are feeling it. If you need help, contact these orgs:","en","relativeinsight","2019-08-01T00:00:00"
"Trans Lifeline","en","relativeinsight","2019-08-01T00:00:00"
"USA: (877) 565-8860","en","relativeinsight","2019-08-01T00:00:00"
"Canada: (877) 330-6366","en","relativeinsight","2019-08-01T00:00:00"
"The Trevor Project (LGBTQ*)","en","relativeinsight","2019-08-01T00:00:00"
"USA: (866) 488-7386","en","relativeinsight","2019-08-01T00:00:00"
"ow woww this made me laugh and hurt my head at the same time :P","en","relativeinsight","2019-08-01T00:00:00"
"I love Tiffany Tumbles. I also hate Tiffany Tumbles.","en","relativeinsight","2019-08-01T00:00:00"
"*cough* blaire white *cough*","en","relativeinsight","2019-08-01T00:00:00"
"I remember the first time I saw Tiffany's little breakdown at the end of the video. It was not long before my bottom surgery and I felt really bad about my body and the words resonated with me super hard.  I'm nearly 5 months post op and even though that is still hard for me to watch it doesn't resonate with me in the same way anymore. Progress.","en","relativeinsight","2019-08-01T00:00:00"
"19:38 Cut to Olly saying 'Breeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeed.'","en","relativeinsight","2019-08-01T00:00:00"
"Jesus this is not that complicated. There's a whole section of straight men that are into what used to be called shemales or whatever it's called now. So like you look like a perfectly hot woman but you've got a big dick. I'm assuming it's part of the whole perversion is hot part of the human brain (I'm into different perversions). They are straight if you're desperate to label them as in they're not attracted to men and they are attracted to girls without penises, just not as much. Also thanks for telling me what a trap is, never knew. Some drunk men will accidentally hit on a trans women and then freak out when they realize their mistake and because lets be honest they probably are idiots they might think it means they're gay and since their entire identity hangs on the probably, in their case, thin strand of their masculinity they get violent. Just like guys who beat up gay men for flirting with them instead of just labeling it like a compliment and moving on.","en","relativeinsight","2019-08-01T00:00:00"
"Girl your editing floors me every time, I have to actively remind myself that there's only one person in the room","en","relativeinsight","2019-08-01T00:00:00"
"Long live ContraPoints","en","relativeinsight","2019-08-01T00:00:00"
"i have no interest in the subject but this was just genius","en","relativeinsight","2019-08-01T00:00:00"
"God damn this video is heartbreaking.","en","relativeinsight","2019-08-01T00:00:00"
"1:33 - 'Transsexuals have figured out the secret to autofertilization!!' -- Alex Jones","en","relativeinsight","2019-08-01T00:00:00"
"'Why is no one talking about the feminine penis?' You mean besides the people that are into traps?     Are traps Gay? I don't think so because you're interested in them due to their resemblance to girls but who the fuck really cares? It's a meme, you may as well ask 'Does Nintendo hate Waluigi?'","en","relativeinsight","2019-08-01T00:00:00"
"10:54 me when everyone in the 'cis' and 'straight' high school friend group came out  before me","en","relativeinsight","2019-08-01T00:00:00"
"Who are those Libertarians 4 Contrapoints lol?","en","relativeinsight","2019-08-01T00:00:00"
"the star wars reference LMAO","en","relativeinsight","2019-08-01T00:00:00"
"I will never again complain because I have to shave every morning.","en","relativeinsight","2019-08-01T00:00:00"
"'She's in the sunken place.' LOL","en","relativeinsight","2019-08-01T00:00:00"
"Contra points is a fantastic story teller","en","relativeinsight","2019-08-01T00:00:00"
"Is the other one a parody of Ash Hardell? XDDD","en","relativeinsight","2019-08-01T00:00:00"
"New T-shirt idea: Why is nobody talking about the mouthfeel","en","relativeinsight","2019-08-01T00:00:00"
"This one is a masterpiece. The editing, the subject, the plot etc. It is brilliant.","en","relativeinsight","2019-08-01T00:00:00"
"9:12 M O U T H F E E L","en","relativeinsight","2019-08-01T00:00:00"
"okay I almost cried","en","relativeinsight","2019-08-01T00:00:00"
"For my entire life, I've been a very progressive person.  I've always been all for not invalidating people's right of existence, be it they're gay, trans, or whatever where society makes them feel this self disgust you presented. However, that breakdown of Tiffany touched me in a way I've never felt before. I don't know what it is about the excecution of it, but I felt it, for what might be the first time, I felt just a fraction of what people are made to feel everyday, just because they exist. If anything, it strengthens my resolve against transohobia and other related issues, so thank you. It's been an eye opener, even to 'someone like me'.","en","relativeinsight","2019-08-01T00:00:00"
"You make a very good job. Please continue.","en","relativeinsight","2019-08-01T00:00:00"
"'Girl dick is everything soft and sweet'","en","relativeinsight","2019-08-01T00:00:00"
"I'm not trans but, still, I relate to Tiffany so much.","en","relativeinsight","2019-08-01T00:00:00"
"I wonder if Natalie puts on a more effeminate voice than her natural one. It's not bad if she does or anything. I just wonder if that's true, and if it is, what does her natural one sound like? I ain't hating at all. It probably sounds fine, but I just don't wanna spread any mean at all.","en","relativeinsight","2019-08-01T00:00:00"
"Tiffany's breakdown brought me to tears - I know it was dramatised but I still felt raw empathy for her. I think everyone has gone through wishing they weren't they way they were at some point, and I definitely connected with that. But the realisation of the often sheer magnitude of this struggle with self acceptance for trans people broke my heart. I knew of it before, but this made me really feel it. I'm tearing up again just writing this comment.. Thank you Contrapoints for such a thought provoking video. Your content continues to seriously impress and move me, so thank you.  PS. I am a straight (for the most part), white, cis male. I am finding many subtly held views of mine that I often didn't realise I was harbouring continually challenged by this channel. And I love it. Just if people are interested to know.  PPS. Contrapoints is automatically recognised as a word by Google android keyboard. And I love that too :D","en","relativeinsight","2019-08-01T00:00:00"
"So an Atheist Arab is a muslim? just because of his looks and skin color?","en","relativeinsight","2019-08-01T00:00:00"
"I assume the purporse of the video is to show how the supposedly woke right-leaning trans woman is suffering and what her internal conflicts are, and this is then supposed to mean that this isn't a good way for a trans woman to exist. However, it would be naive to think that the other tran in the video has it any easier or that she isn't facing identical issues in her own distinct way. I don't think this video has a clear conclusion, and I also don't think it needs one.  I say all this while being aware that this is, at this point, a relatively old video, and that a lot has happened since.","en","relativeinsight","2019-08-01T00:00:00"
"Yeah! I finally found the source of the legendary *MOUTHFEEL* 9:17","en","relativeinsight","2019-08-01T00:00:00"
"Just fckn blew my mind  are you fckning with me? Female penis a thing? Everything goes so deep and confusing with the intricacies of the transgender mind. Though i can understand the part of being attracted to physical characteristics and not genitalia. Like don't necessarily looove penis. Mmmmmmmm","en","relativeinsight","2019-08-01T00:00:00"
"I now exclusively talk about the mouthfeel.","en","relativeinsight","2019-08-01T00:00:00"
"10:35 math of attraction thanks maxwell","en","relativeinsight","2019-08-01T00:00:00"
"Oh, I really love this video. Tiffany looks like a deep and interesting character.","en","relativeinsight","2019-08-01T00:00:00"
"I am actually curious about the attraction to transgender people when you identify as a straight or gay person. I'm bi and it doesn't really matter. I am legitimately very curious now and I want to understand!","en","relativeinsight","2019-08-01T00:00:00"
"So like.... are they orr......","en","relativeinsight","2019-08-01T00:00:00"
"What is that star wars","en","relativeinsight","2019-08-01T00:00:00"
"When she breaks down and starts to say 'I WISH I was a woman', I almost couldn't watch, like you ARE a woman, if you loved yourself more you wouldn't forget.","en","relativeinsight","2019-08-01T00:00:00"
"'Y'know what else I'm not living for? The Muslims.' Note to self, watching Contra while eating is a choking hazard.","en","relativeinsight","2019-08-01T00:00:00"
"all in my mind when watching this: ' is this where the whole mouth feel thing started'    when it comes to the mouthfeel scene: ' got damn it, I knew it lol'","en","relativeinsight","2019-08-01T00:00:00"
"im highkey gay for Adria (and every other women, im massive gay)","en","relativeinsight","2019-08-01T00:00:00"
"Dam, some powerful stuff!","en","relativeinsight","2019-08-01T00:00:00"
"I'm a straight man but I relate to these gender/sexuality videos because I love women so much that I subconsciously act a little feminine making people think I'm gay. Which is ironic. And at the same time I don't get offended because I have nothing against gay people and more importantly, I'm super secure of my sexuality. As long as the girl I like doesn't think I'm gay, I'm happy.","en","relativeinsight","2019-08-01T00:00:00"
"'Why is nobody talking about the mouthfeel?' Fucking KILLED me oml","en","relativeinsight","2019-08-01T00:00:00"
"When you are sitting there like 'am I going to have to look up lady dick if they don't go more into this?' And then you immediately do I started dying.","en","relativeinsight","2019-08-01T00:00:00"
"Whoever is reading this  Blaire recognizes Riley as female now. Has for a while. I lowkey feel like this comment will be reported but I watch both Natalie and Blaire. I don't agree with a lot of what both Blaire and Natalie talk about but there's some stuff I agree on with both.","en","relativeinsight","2019-08-01T00:00:00"
"shes so PRETTY","en","relativeinsight","2019-08-01T00:00:00"
"I'm not talking about the mouth feels bc I'm too busy sucking feminine dick","en","relativeinsight","2019-08-01T00:00:00"
"9:51 Perfect. ","en","relativeinsight","2019-08-01T00:00:00"
